length,energy
1.4,-184.94068040625777
1.397,-184.94349646257172
1.394,-184.94630013817294
1.391,-184.94909118106688
1.388,-184.9518687250802
1.385,-184.95463250901503
1.382,-184.9573817933322
1.379,-184.9601161402772
1.376,-184.96283465596565
1.373,-184.96553687696672
1.3699999999999999,-184.96822232873092
1.367,-184.9708901103512
1.3639999999999999,-184.9735398525157
1.361,-184.97617065032352
1.3579999999999999,-184.9787821082773
1.355,-184.98137330116305
1.3519999999999999,-184.9839438208051
1.349,-184.98649271461773
1.3459999999999999,-184.9890195651655
1.343,-184.99152340166614
1.3399999999999999,-184.99400365473497
1.337,-184.9964596357666
1.3339999999999999,-184.99889056353518
1.331,-185.00129570700642
1.3279999999999998,-185.0036740026849
1.325,-185.00602495882913
1.3219999999999998,-185.0083478777899
1.319,-185.01064191478696
1.3159999999999998,-185.0129062156496
1.313,-185.01513986366786
1.3099999999999998,-185.01734212079234
1.307,-185.01951214124452
1.3039999999999998,-185.0216490663188
1.301,-185.02375202442656
1.2979999999999998,-185.02582013101667
1.295,-185.02785248842034
1.2919999999999998,-185.02984818564542
1.289,-185.0318062981421
1.2859999999999998,-185.03372579594398
1.283,-185.0356059203269
1.2799999999999998,-185.03744560190688
1.277,-185.03924385913
1.274,-185.04099969563384
1.271,-185.04271209996705
1.2679999999999998,-185.04437995975502
1.265,-185.04600241584535
1.262,-185.04757831068957
1.259,-185.04910656972595
1.2559999999999998,-185.05058610192066
1.253,-185.0520157994766
1.25,-185.05339446171126
1.2469999999999999,-185.05472110992773
1.244,-185.05599449498558
1.2409999999999999,-185.05721343925592
1.238,-185.05837674685586
1.2349999999999999,-185.0594832033368
1.232,-185.06053150619192
1.2289999999999999,-185.06152055248032
1.226,-185.06244898810047
1.2229999999999999,-185.06331552136433
1.22,-185.0641188403808
1.2169999999999999,-185.06485761271549
1.214,-185.06553048504577
1.2109999999999999,-185.06613602579765
1.208,-185.06667296227812
1.2049999999999998,-185.06713980843648
1.202,-185.06753512400692
1.1989999999999998,-185.0678574459836
1.196,-185.06810528823428
1.1929999999999998,-185.06827714110847
1.19,-185.06837141806975
1.1869999999999998,-185.0683866758542
1.184,-185.06832126880667
1.1809999999999998,-185.06817358931607
1.178,-185.06794200414885
1.1749999999999998,-185.06762485400606
1.172,-185.06722045308106
1.1689999999999998,-185.06672708859932
1.166,-185.06614302035382
1.1629999999999998,-185.06546643822577
1.16,-185.06469563631197
1.157,-185.06382873960388
1.154,-185.06286389347247
1.1509999999999998,-185.06179921336684
1.148,-185.06063278429164
1.145,-185.0593626602764
1.142,-185.05798686383142
1.1389999999999998,-185.05650338539482
1.136,-185.05491018277002
1.133,-185.05320518054788
1.13,-185.05138623361134
1.1269999999999998,-185.0494512748096
1.1239999999999999,-185.04739808431893
1.121,-185.04522444799298
1.1179999999999999,-185.04292811540634
1.1149999999999998,-185.04050679920908
1.1119999999999999,-185.03795817446755
1.109,-185.0352798779918
1.1059999999999999,-185.0324695076507
1.103,-185.02952462167306
